,USER_ID,date,call_duration,db_value_mean,db_value_max,db_value_min,lux_value_mean,lux_value_max,lux_value_min,msg_num,pic_num,sleep_duration,step_count,daily_score,weekly_score,label
156,23102111,20231021,,57.0,57.0,57.0,2.0,2.0,2.0,,5.0,370.0,4562.0,9.0,12.0,0
157,23102111,20231022,,65.0,65.0,65.0,79.33333333333333,214.0,0.0,,9.0,450.0,5582.0,11.0,,0
158,23102202,20231022,,57.5,63.0,52.0,21.0,41.0,1.0,,1.0,,,,15.0,0
159,23102203,20231022,,58.0,58.0,58.0,0.0,0.0,0.0,2.0,4.0,,,11.0,21.0,0
160,23102301,20231018,,45.714285714285715,67.0,34.0,49.42857142857143,54.0,42.0,,,434.0,62.0,8.0,19.0,0
161,23102301,20231019,,49.8,65.0,36.0,357.0,578.0,0.0,,2.0,,2395.0,8.0,,0
162,23102301,20231020,,34.0,34.0,34.0,4.5,9.0,0.0,,,424.0,2697.0,8.0,,0
163,23102301,20231021,,66.0,66.0,66.0,316.0,320.0,312.0,,,440.0,4271.0,9.0,,0
164,23102301,20231022,,51.0,65.0,37.0,58.5,109.0,8.0,,,490.0,,8.0,,0
165,231019278,20231020,,81.0,81.0,81.0,95.0,95.0,95.0,1.0,50.0,,,9.0,16.0,0
166,4te3900 ,20231019,,55.5,71.0,47.0,42.666666666666664,51.0,29.0,,,,,8.0,,0
167,efusilver,20231013,,54.8,67.0,37.0,224.4,365.0,0.0,,6.0,,,10.0,19.0,0
168,efusilver,20231016,,72.0,78.0,66.0,645.0,1071.0,339.0,,1.0,,,9.0,,0
169,efusilver,20231017,,80.0,80.0,80.0,499.0,499.0,499.0,1.0,2.0,,,,,0
170,efusilver,20231019,,54.0,54.0,54.0,306.0,306.0,306.0,,1.0,,,,,0
171,efusilver,20231020,,47.5,48.0,47.0,369.0,373.0,365.0,,,,,,18.0,0
172,imamy0627,20231012,,61.25,79.0,47.0,14.25,19.0,11.0,5.0,5.0,,,8.0,11.0,0
173,jiun123,20231020,,51.0,58.0,44.0,0.0,0.0,0.0,1.0,14.0,,,10.0,17.0,0
174,skwn,20231012,,61.0,61.0,61.0,784.0,784.0,784.0,,27.0,,,,15.0,0
175,skwn,20231013,,67.33333333333333,71.0,62.0,1029.6666666666667,1109.0,948.0,,,,,,,0
176,skwn,20231017,,58.5,64.0,53.0,766.5,981.0,552.0,,,,,,,0
177,skwn,20231018,,64.07692307692308,82.0,44.0,726.5,899.0,451.0,,,,210.0,9.0,,0
178,skwn,20231019,,67.66666666666667,86.0,57.0,438.0,759.0,14.0,,,,1581.0,12.0,19.0,0
179,skwn,20231020,,70.6,90.0,58.0,633.4545454545455,889.0,105.0,,10.0,,1248.0,,,0
180,ymshin,20231012,,77.5,80.0,75.0,629.6666666666666,754.0,447.0,,37.0,408.0,9703.0,15.0,13.0,0
181,ymshin,20231013,,76.0,76.0,76.0,209.0,209.0,209.0,,12.0,895.0,15017.0,16.0,,0
182,ymshin,20231016,,73.0,73.0,73.0,234.0,234.0,234.0,,1.0,850.0,9494.0,14.0,,0
183,ymshin,20231018,,74.0,74.0,74.0,717.0,717.0,717.0,,14.0,,5661.0,14.0,,0
184,ymshin,20231019,,51.0,51.0,51.0,179.0,179.0,179.0,,7.0,,6769.0,15.0,21.0,0
185,ymshin,20231020,,67.0,67.0,67.0,340.5,382.0,299.0,,70.0,,9302.0,,,0
186,ymshin,20231022,,39.0,39.0,39.0,132.0,132.0,132.0,,,,75.0,,,0
187,동국홍준기,20231020,,51.0,55.0,47.0,122.0,228.0,16.0,,8.0,,,8.0,14.0,0
188,동국홍준기,20231021,,42.0,45.0,39.0,168.5,318.0,19.0,,1.0,,,10.0,,0
189,23101801,20231020,,,,,721.3333333333334,1735.0,46.0,,,415.0,4688.0,9.0,16.0,0
190,23101801,20231021,,,,,7.5,14.0,1.0,,,420.0,2363.0,8.0,,0
191,23101801,20231022,,,,,0.0,0.0,0.0,,,364.0,3521.0,10.0,,0
192,23101905,20231020,,,,,88.0,127.0,54.0,1.0,3.0,536.0,,8.0,,0
193,23101921,20231021,,,,,1972.0,1972.0,1972.0,,3.0,200.0,2053.0,,,0
194,23101923,20231022,,,,,65.0,65.0,65.0,,,,,,,0
195,23102014,20231021,,,,,203.0,203.0,203.0,,11.0,550.0,2802.0,9.0,,0
196,23102014,20231023,,,,,72.0,72.0,72.0,,,,,,,0
197,23102102,20231021,,,,,66.0,66.0,66.0,5.0,23.0,,,,19.0,0
198,23102106,20231021,,,,,222.66666666666666,229.0,211.0,9.0,,,,,14.0,0
199,aaaa,20231020,,,,,691.0,691.0,691.0,,,,,,,0
200,23101801,20231018,,,,,,,,3.0,,,,,,0
201,23101802,20230920,,,,,,,,1.0,,,,,,0
202,23101802,20231005,,,,,,,,1.0,,,,,,0
203,23101802,20231006,,,,,,,,1.0,,,,,,0
204,23101902,20231018,,,,,,,,3.0,5.0,,,,,0
205,23101903,20230923,,,,,,,,1.0,,,,,,0
206,23101904,20231013,,,,,,,,3.0,6.0,,,,,0
207,23101904,20231016,,,,,,,,3.0,8.0,,6094.0,,,0
208,23101904,20231017,,,,,,,,2.0,4.0,,5746.0,,,0
209,23101905,20230920,,,,,,,,8.0,,,,,,0
210,23101905,20231006,,,,,,,,2.0,,,,,,0
211,23101910,20230920,,,,,,,,2.0,,,,,,2
212,23101912,20230921,,,,,,,,1.0,,,,,,1
213,23101915,20230921,,,,,,,,3.0,,,,,,0
214,23101915,20230927,,,,,,,,1.0,,,,,,0
215,23101915,20231004,,,,,,,,2.0,,,,,,0
